,rec,ver,tag,src,val.mtf1,val.pm1,val.mtf5,val.pm2p5,val.bin,val.mtf3,val.pm10,val.mtf7,val.per,val.sfr,val.sht.hmd,val.sht.tmp,exg.val.pm10,exg.val.pm1,exg.val.pm2p5,exg.src
14,2024-04-21T13:17:54Z,2.0,scs-bgx-868,N3,33.0,3.2,55.0,7.7,"[289.0, 65.0, 20.0, 2.0, 8.0, 3.0, 2.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",41.0,40.9,0.0,4.1,2.87,33.8,46.5,18.3,6.7,6.6,rn20
15,2024-04-21T13:18:04Z,2.0,scs-bgx-868,N3,36.0,3.4,52.0,9.7,"[308.0, 58.0, 18.0, 3.0, 7.0, 2.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",39.0,14.9,0.0,4.1,2.63,33.8,46.5,13.1,6.7,6.8,rn20
16,2024-04-21T13:18:14Z,2.0,scs-bgx-868,N3,34.0,3.6,38.0,9.1,"[309.0, 61.0, 19.0, 8.0, 5.0, 5.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",43.0,17.7,0.0,4.1,2.67,33.9,46.5,14.3,6.7,8.0,rn20
17,2024-04-21T13:18:24Z,2.0,scs-bgx-868,N3,32.0,3.1,38.0,8.1,"[279.0, 57.0, 18.0, 5.0, 6.0, 6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",46.0,10.7,0.0,4.1,2.85,33.9,46.5,11.7,5.9,7.1,rn20
18,2024-04-21T13:18:34Z,2.0,scs-bgx-868,N3,31.0,3.0,41.0,8.1,"[315.0, 45.0, 21.0, 2.0, 9.0, 3.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",47.0,13.0,67.0,4.1,3.01,33.8,46.5,12.6,7.5,6.9,rn20
19,2024-04-21T13:18:44Z,2.0,scs-bgx-868,N3,33.0,3.0,43.0,7.1,"[270.0, 57.0, 18.0, 7.0, 6.0, 4.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",40.0,14.1,0.0,4.1,2.95,33.9,46.5,12.6,4.9,6.4,rn20
20,2024-04-21T13:18:54Z,2.0,scs-bgx-868,N3,36.0,3.3,43.0,7.9,"[326.0, 65.0, 12.0, 2.0, 6.0, 6.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",49.0,9.8,0.0,4.1,2.66,33.9,46.4,13.7,6.4,7.2,rn20
21,2024-04-21T13:19:04Z,2.0,scs-bgx-868,N3,34.0,3.2,31.0,8.0,"[284.0, 57.0, 14.0, 7.0, 7.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",34.0,11.4,0.0,4.1,2.68,33.9,46.5,12.1,5.8,5.4,rn20
22,2024-04-21T13:19:14Z,2.0,scs-bgx-868,N3,34.0,3.2,42.0,9.2,"[298.0, 43.0, 21.0, 6.0, 6.0, 3.0, 1.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",44.0,23.9,41.0,4.1,2.69,34.0,46.4,16.6,7.3,6.6,rn20
23,2024-04-21T13:19:24Z,2.0,scs-bgx-868,N3,34.0,3.3,46.0,6.8,"[315.0, 55.0, 15.0, 5.0, 6.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",37.0,8.2,0.0,4.1,2.7,34.0,46.4,11.9,7.0,6.9,rn20
